,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
939,990,live die repeat and repeat,0,5,8,8
940,991,kaboom,2,4,10,154
941,992,boku no hero academia: world heroes mission,11,0,4,9
942,994,q-force,11,0,4,9
943,995,species ii,0,15,8,23
944,996,the 6th day,0,4,8,84
945,997,the hot zone,1,6,8,142
946,998,assassin's creed valhalla,0,5,9,37
947,1000,blade runner: black lotus,11,0,1,0
948,1001,venom 3,0,5,8,8
949,1003,erufen rîto,11,0,1,0
950,1004,paycheck,0,4,8,84
951,1005,the darkest minds,0,5,1,39
952,1006,aliens in the attic,4,2,11,45
953,1007,the langoliers,12,4,8,11
954,1009,the core,0,5,8,8
955,1011,bicentennial man,2,1,8,75
956,1012,take shelter,1,9,13,6
957,1013,spy kids 2: island of lost dreams,0,5,2,2
958,1014,little fish,1,11,8,33
959,1015,la región salvaje,1,15,5,19
960,1016,star trek: nemesis,0,5,8,8
961,1017,captive state,0,15,8,23
962,1018,tmnt,11,0,4,9
963,1019,the rover,0,3,1,184
964,1020,the thirteenth floor,5,9,13,26
965,1021,death race 2000,0,2,8,43
966,1022,code 8,0,3,1,184
967,1023,black box,12,4,8,11
968,1024,a quiet place: day one,1,15,8,42
969,1025,life on mars,3,1,5,15
970,1026,"20,000 leagues under the sea",4,1,11,137
971,1027,big hero 6: the series,11,0,4,9
972,1028,beforeigners,3,1,8,114
973,1029,lab rats,0,2,1,85
974,1030,untitled mad max project,0,5,8,8
975,1031,primeval,0,5,1,39
976,1032,chain reaction,0,1,8,5
977,1033,star wars: episode v - the empire strikes back: deleted scenes,13,0,1,68
978,1034,seeking a friend for the end of the world,4,2,1,169
979,1035,psycho-pass,11,0,3,64
980,1036,a wrinkle in time,4,10,9,92
981,1037,the purge: election year,0,15,8,23
982,1038,dreamcatcher,1,15,8,42
983,1039,ben 10: omniverse,11,0,4,9
984,1040,zvyozdniy razum,4,9,13,91
985,1041,zoom,0,5,2,2
986,1042,ben 10: alien force,11,0,4,9
987,1043,night gallery,1,8,14,55
988,1044,salvation,1,9,13,6
989,1045,repo! the genetic opera,12,7,8,109
990,1046,ghosts of mars,0,15,8,23
991,1047,another earth,1,11,8,33
992,1048,carriers,0,5,1,39
993,1049,elizabeth harvest,12,9,13,162
994,1050,cloak & dagger,0,5,1,39
995,1051,splinter,12,9,13,162
996,1052,shin gojira,0,1,14,49
997,1053,my favorite martian,2,10,8,17
998,1054,cell,0,5,14,18
999,1055,flashforward,1,4,8,168
1000,1056,vikram,0,5,8,8
1001,1057,just beyond,2,1,9,32
