,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1447,1536,slave girls from beyond infinity,0,5,2,2
1448,1537,the time tunnel,0,5,8,8
1449,1538,day of the dead,0,1,14,49
1450,1539,phantoms,12,9,13,162
1451,1540,time after time,4,1,8,63
1452,1541,assassin's creed: origins,0,5,9,37
1453,1542,sharknado 5: global swarming,0,5,2,2
1454,1543,universal soldier: day of reckoning,0,15,5,94
1455,1544,metal gear solid v: the phantom pain,0,5,1,39
1456,1545,superman ii: the richard donner cut,0,5,10,127
1457,1546,assassin's creed iv: black flag,0,5,6,153
1458,1547,the mandela effect,1,9,13,6
1459,1548,mike tyson mysteries,11,5,2,12
1460,1550,debris,1,4,8,168
1461,1552,on the beach,1,11,8,33
1462,1553,blaze and the monster machines,11,0,4,9
1463,1554,the bay,12,9,13,162
1464,1555,pokémon journeys,11,5,2,12
1465,1556,redline,11,0,8,121
1466,1557,radius,1,15,5,19
